Time,Analog,Pressure(Kpa)
2.603563486,113,-117.9932
2.607574055,114,-117.6496
2.615811907,114,-117.6496
2.620741829,114,-117.6496
2.62462766,114,-117.6496
2.629699689,114,-117.6496
2.636239759,114,-117.6496
2.640704281,114,-117.6496
2.64462485,113,-117.9932
2.650283464,113,-117.9932
2.656540505,113,-117.9932
2.660983711,113,-117.9932
2.665021912,113,-117.9932
2.672780548,113,-117.9932
2.677301518,113,-117.9932
2.681462879,114,-117.6496
2.685532265,114,-117.6496
2.693706169,114,-117.6496
2.697747923,114,-117.6496
2.702009548,114,-117.6496
2.705808931,114,-117.6496
2.714085073,114,-117.6496
2.719153944,113,-117.9932
2.7219045,113,-117.9932
2.730523277,113,-117.9932
2.734447793,113,-117.9932
2.738748102,113,-117.9932
2.74292999,113,-117.9932
2.751080604,114,-117.6496
2.754894987,114,-117.6496
2.759382009,114,-117.6496
2.763398895,114,-117.6496
2.771452797,114,-117.6496
2.775749554,114,-117.6496
2.779611306,114,-117.6496
2.783348715,114,-117.6496
2.792128547,113,-117.9932
2.796088195,113,-117.9932
2.800314688,113,-117.9932
2.808685962,113,-117.9932
2.812281264,113,-117.9932
2.818170407,113,-117.9932
2.820729513,113,-117.9932
2.828829206,114,-117.6496
2.832937671,114,-117.6496
2.83830694,114,-117.6496
2.84134092,114,-117.6496
2.849266926,114,-117.6496
2.853436577,114,-117.6496
2.858511368,114,-117.6496
2.865352231,114,-117.6496
2.86983649,113,-117.9932
2.873813112,113,-117.9932
2.878499084,113,-117.9932
2.887161677,113,-117.9932
2.890022761,113,-117.9932
2.896132958,114,-117.6496
2.898587064,114,-117.6496
2.906748731,114,-117.6496
2.910963776,113,-117.9932
2.916480283,113,-117.9932
2.922551796,114,-117.6496
2.927203425,113,-117.9932
2.931330049,113,-117.9932
2.936841819,113,-117.9932
2.943582812,114,-117.6496
2.94770233,114,-117.6496
2.951783164,114,-117.6496
2.957761123,114,-117.6496
2.963878426,113,-117.9932
2.968108472,113,-117.9932
2.971985619,113,-117.9932
2.980405446,113,-117.9932
2.985640898,113,-117.9932
2.988439612,113,-117.9932
2.992835844,114,-117.6496
3.000783956,114,-117.6496
3.00651007,114,-117.6496
3.00911773,114,-117.6496
3.013235274,114,-117.6496
3.021334967,113,-117.9932
3.026668314,113,-117.9932
3.029560187,113,-117.9932
3.037676459,114,-117.6496
3.041842162,113,-117.9932
3.047178272,114,-117.6496
3.050100146,114,-117.6496
3.05814339,114,-117.6496
3.062278304,114,-117.6496
3.067434412,114,-117.6496
3.070612078,113,-117.9932
3.078654928,113,-117.9932
3.082729051,113,-117.9932
3.087810158,113,-117.9932
3.096256039,113,-117.9932
3.099180675,114,-117.6496
3.103340457,114,-117.6496
3.107775768,115,-117.306
3.116484941,114,-117.6496
3.119420631,113,-117.9932
3.125620434,113,-117.9932
3.127861774,114,-117.6496
3.136355024,113,-117.9932
3.139661375,113,-117.9932
3.14579052,114,-117.6496
3.148465286,114,-117.6496
